gridID,roadLengthKM
1481-3-10-13-2,0
1481-3-10-13-4,0
1481-3-10-14-1,0.7837549129641909
1481-3-10-14-2,1.229215414379156
1481-3-10-14-3,0
1481-3-10-14-4,0.8195936274459124
1481-3-10-19-1,0
1481-3-10-19-2,0
1481-3-10-19-3,0
1481-3-10-19-4,0.4366196327894018
1481-3-10-4-4,0
1481-3-10-5-1,1.0233478377111103
1481-3-10-5-2,2.2252488808737487
1481-3-10-5-3,0.017096083990070468
1481-3-10-5-4,0.9945613055539884
1481-3-10-9-2,0.09422573306479884
1481-3-10-9-4,0.8746219918637954
1481-3-10-a-1,0
1481-3-10-a-2,1.0206680743487804
1481-3-10-a-3,0
1481-3-10-a-4,0.21050530980663526
1481-3-10-e-2,0.05103041985190134
1481-3-10-e-4,0
1481-3-10-f-1,0.6896238905284358
1481-3-10-f-2,0.14090829245588907
1481-3-10-f-3,0
1481-3-10-f-4,0
1481-3-11-1-1,2.2952483098215137
1481-3-11-1-2,1.0617762919490665
1481-3-11-1-3,1.34652478888058
1481-3-11-1-4,1.1414349781225026
1481-3-11-10-1,2.2901570206802284
1481-3-11-10-2,1.0073357287748008
1481-3-11-10-3,1.4023821455683112
1481-3-11-10-4,0
1481-3-11-11-1,1.5734969194957484
1481-3-11-11-2,1.6339893800346377
1481-3-11-11-3,0
1481-3-11-11-4,0.010318862303803203
1481-3-11-12-1,1.932139749558153
1481-3-11-12-2,0.10799776008936997
1481-3-11-12-3,1.0586015637036064
1481-3-11-12-4,0
1481-3-11-13-1,0.32158887003495235
1481-3-11-13-2,0.8234589781290069
1481-3-11-13-3,0
1481-3-11-13-4,0.726359764947555
1481-3-11-14-1,2.1325341248763614
1481-3-11-14-2,1.0068587403348426
1481-3-11-14-3,2.0575528080533103
1481-3-11-14-4,1.1384617025974073
1481-3-11-15-1,1.0699556030593593
1481-3-11-15-2,0
1481-3-11-15-3,1.6556465046099023
1481-3-11-15-4,1.2602396049988
1481-3-11-16-1,0
1481-3-11-16-2,0
1481-3-11-16-3,1.224011499457382
1481-3-11-16-4,1.006324217488725
1481-3-11-17-1,0.9945299216518724
1481-3-11-17-2,0
1481-3-11-17-3,1.2700070964725518
1481-3-11-17-4,0.31593409344194484
1481-3-11-18-1,0.01828789347279298
1481-3-11-18-2,2.0773209058637887
1481-3-11-18-3,1.428354973358995
1481-3-11-18-4,1.1871111427341625
1481-3-11-19-1,1.74804312511121
1481-3-11-19-2,0
1481-3-11-19-3,2.0455335564470833
1481-3-11-19-4,0
1481-3-11-2-1,2.2191934584401802
1481-3-11-2-2,2.000884773997866
1481-3-11-2-3,2.3927929304188305
1481-3-11-2-4,2.000905634143858
1481-3-11-3-1,0.7036909648079107
1481-3-11-3-2,0.009286286096688369
1481-3-11-3-3,1.007736571019203
1481-3-11-3-4,2.060654343814977
1481-3-11-4-1,0
1481-3-11-4-2,0.9940252613287461
1481-3-11-4-3,1.0067707080696136
1481-3-11-4-4,2.0009301185665933
1481-3-11-5-1,0
1481-3-11-5-2,0
1481-3-11-5-3,1.162152822330534
1481-3-11-5-4,1.5993314259456897
1481-3-11-6-1,0.9944114589861602
1481-3-11-6-2,0
1481-3-11-6-3,1.287493826825134
1481-3-11-6-4,1.0072818904361451
1481-3-11-7-1,0.9940058575615349
1481-3-11-7-2,1.1207514078284846
1481-3-11-7-3,2.0010902472635967
1481-3-11-7-4,2.0010676241233862
1481-3-11-8-1,0
1481-3-11-8-2,0.9940532081111288
1481-3-11-8-3,1.006907090318999
1481-3-11-8-4,2.001236954284736
1481-3-11-9-1,0
1481-3-11-9-2,1.076254387099888
1481-3-11-9-3,1.1133130145976269
1481-3-11-9-4,2.1168199407681256
1481-3-11-a-1,0.6390103009682384
1481-3-11-a-2,0.20310319560779688
1481-3-11-a-3,1.999132936222173
1481-3-11-a-4,0
1481-3-11-b-1,1.9891253553698889
1481-3-11-b-2,1.0070509513241366
1481-3-11-b-3,0.994590840235068
1481-3-11-b-4,0
1481-3-11-c-1,2.0014520793356327
1481-3-11-c-2,2.0010921742621637
1481-3-11-c-3,0.9943093267974622
1481-3-11-c-4,0.6602999809785662
1481-3-11-d-1,1.0069245254249117
1481-3-11-d-2,3.0074583746496044
1481-3-11-d-3,0.3343937390469448
1481-3-11-d-4,1.5748379999940727
1481-3-11-e-1,1.2213869271846274
1481-3-11-e-2,2.2841813160887647
1481-3-11-e-3,0
1481-3-11-e-4,1.3110546307233686
1481-3-11-f-1,1.160562128828502
1481-3-11-f-2,0
1481-3-11-f-3,1.8011621880511641
1481-3-11-f-4,0
1481-3-12-1-1,1.135704506112763
1481-3-12-1-2,1.056038790544754
1481-3-12-1-3,2.1228470697825963
1481-3-12-1-4,2.0014368763104664
1481-3-12-10-1,2.001479653502118
1481-3-12-10-2,1.3750559091977275
1481-3-12-10-3,2.0016303301086023
1481-3-12-10-4,1.0066120088762198
1481-3-12-11-1,1.7740240961594012
1481-3-12-11-2,2.0012781257352272
1481-3-12-11-3,1.164742310985197
1481-3-12-11-4,2.0016120949619483
1481-3-12-12-1,1.0070911261350404
1481-3-12-12-2,1.4408353633666557
1481-3-12-12-3,1.2002433927001175
1481-3-12-12-4,2.001505332282431
1481-3-12-13-1,1.205100560653125
1481-3-12-13-2,0
1481-3-12-13-3,2.0013378928820686
1481-3-12-13-4,1.118800500119405
1481-3-12-14-1,0
1481-3-12-14-2,0.5321520270986441
1481-3-12-14-3,1.9838058292978278
1481-3-12-14-4,1.6191099724760607
1481-3-12-15-1,1.6261469120378897
1481-3-12-15-2,0.38184974777230507
1481-3-12-15-3,0.8054777790659776
1481-3-12-15-4,1.7369152491924247
1481-3-12-16-1,0.9948887585303111
1481-3-12-16-2,0.9942510901241294
1481-3-12-16-3,0.9946931367506513
1481-3-12-16-4,0.9945269245180619
1481-3-12-17-1,0
1481-3-12-17-2,1.1225003847820187
1481-3-12-17-3,1.835429879643224
1481-3-12-17-4,2.676411005874085
1481-3-12-18-1,1.1678327893048377
1481-3-12-18-2,0
1481-3-12-18-3,2.001198075201037
1481-3-12-18-4,1.1670939358620684
1481-3-12-19-1,1.513078124014201
1481-3-12-19-2,0
1481-3-12-19-3,1.224645348663629
1481-3-12-19-4,1.0072201249372341
1481-3-12-2-1,0
1481-3-12-2-2,1.3150297009227483
1481-3-12-2-3,1.0766193958046408
1481-3-12-2-4,2.0018807833241388
1481-3-12-3-1,2.2411272484617366
1481-3-12-3-2,0.08116594042737628
1481-3-12-3-3,1.6735962870602048
1481-3-12-3-4,1.9081937141173904
1481-3-12-4-1,0.9944553353235515
1481-3-12-4-2,0.4577565615087404
1481-3-12-4-3,2.3663677961149694
1481-3-12-4-4,1.2037759722505978
1481-3-12-5-1,1.322807349677676
1481-3-12-5-2,1.0124877321333239
1481-3-12-5-3,1.2075952381472732
1481-3-12-5-4,1.2283859922127556
1481-3-12-6-1,1.132271195470824
1481-3-12-6-2,1.1406719923125301
1481-3-12-6-3,0
1481-3-12-6-4,0.9947137269240025
1481-3-12-7-1,1.0080765895866348
1481-3-12-7-2,2.0941072715150955
1481-3-12-7-3,0
1481-3-12-7-4,1.3370748760244007
1481-3-12-8-1,1.0069787232331802
1481-3-12-8-2,2.455760228699366
1481-3-12-8-3,0
1481-3-12-8-4,1.0185868843519053
1481-3-12-9-1,2.001753442795834
1481-3-12-9-2,1.0893551441869747
1481-3-12-9-3,1.656669170371752
1481-3-12-9-4,0
1481-3-12-a-1,1.5256946465781125
1481-3-12-a-2,1.1510458861246173
1481-3-12-a-3,1.3332389551496642
1481-3-12-a-4,0.9944534121506591
1481-3-12-b-1,0
1481-3-12-b-2,0.9946597279848376
1481-3-12-b-3,0.3317181668033613
1481-3-12-b-4,1.1250813479929993
1481-3-12-c-1,0
1481-3-12-c-2,1.591314375947833
1481-3-12-c-3,0
1481-3-12-c-4,0.9944200000919663
1481-3-12-d-1,0.40646303236224135
1481-3-12-d-2,2.3635314233955844
1481-3-12-d-3,0.04411344282371074
1481-3-12-d-4,0.9945661415505181
1481-3-12-e-1,2.5616946944497285
1481-3-12-e-2,1.5630506368193169
1481-3-12-e-3,0.9949793438690051
1481-3-12-e-4,0
1481-3-12-f-1,1.3754910031232532
1481-3-12-f-2,2.0017484949681217
1481-3-12-f-3,0
1481-3-12-f-4,0.775471650621185
1481-3-13-1-1,0
1481-3-13-1-2,1.2325777919938818
1481-3-13-1-3,0
1481-3-13-1-4,0.1481876965343479
1481-3-13-10-1,0.13916302479540155
1481-3-13-10-2,0
1481-3-13-10-3,1.9538241815956907
1481-3-13-10-4,1.1352276315722325
1481-3-13-11-1,0
1481-3-13-11-2,0.14450529083264224
1481-3-13-11-3,0
1481-3-13-11-4,0.7819307489094615
1481-3-13-12-1,0.9945710493784993
1481-3-13-12-2,0
1481-3-13-12-3,1.808029720653169
1481-3-13-12-4,0
1481-3-13-13-1,0
1481-3-13-13-2,0
1481-3-13-13-3,0
1481-3-13-13-4,0
1481-3-13-14-1,0
1481-3-13-14-2,0
1481-3-13-14-3,0
1481-3-13-14-4,0
1481-3-13-15-1,1.9886925619883005
1481-3-13-15-2,0.9946342775380759
1481-3-13-15-3,2.2051436089133194
1481-3-13-15-4,2.0033244044402982
1481-3-13-16-1,0.5997746344868645
1481-3-13-16-2,0.9856641955704457
1481-3-13-16-3,0.6633670499634741
1481-3-13-16-4,1.8323771677494596
1481-3-13-17-1,3.168512139703008
1481-3-13-17-2,1.0071049726726056
1481-3-13-17-3,3.4094811471950415
1481-3-13-17-4,1.148685215733304
1481-3-13-18-1,1.1195191698039941
1481-3-13-18-2,1.008144505809022
1481-3-13-18-3,0.38266360236240254
1481-3-13-18-4,0
1481-3-13-19-1,0.05178417924928671
1481-3-13-19-2,0
1481-3-13-19-3,0
1481-3-13-19-4,0
1481-3-13-2-1,1.556175177730229
1481-3-13-2-2,1.0072089636051713
1481-3-13-2-3,1.1946373605079925
1481-3-13-2-4,0.26234024899552555
1481-3-13-3-1,2.240620418022729
1481-3-13-3-2,1.0074257720067248
1481-3-13-3-3,0.995208109956395
1481-3-13-3-4,0
1481-3-13-4-1,2.0029734689033813
1481-3-13-4-2,1.5254266634577744
1481-3-13-4-3,0.67114554070185
1481-3-13-4-4,0
1481-3-13-5-1,0
1481-3-13-5-2,0.5001869863353311
1481-3-13-5-3,0
1481-3-13-5-4,0.8685503175824022
1481-3-13-6-1,1.007174844172795
1481-3-13-6-2,0.0964413693339842
1481-3-13-6-3,0
1481-3-13-6-4,0
1481-3-13-7-1,0
1481-3-13-7-2,1.036509689862434
1481-3-13-7-3,0
1481-3-13-7-4,0
1481-3-13-8-1,0.9948178265765555
1481-3-13-8-2,0
1481-3-13-8-3,1.3435274122550678
1481-3-13-8-4,0.17767896022088173
1481-3-13-9-1,0
1481-3-13-9-2,0
1481-3-13-9-3,0
1481-3-13-9-4,0
1481-3-13-a-1,0
1481-3-13-a-2,0
1481-3-13-a-3,0
1481-3-13-a-4,0
1481-3-13-b-1,1.0835679931982038
1481-3-13-b-2,1.6886218181903017
1481-3-13-b-3,1.8204935296035856
1481-3-13-b-4,0.9184677493166492
1481-3-13-c-1,0
1481-3-13-c-2,0
1481-3-13-c-3,0
1481-3-13-c-4,1.2531365070222942
1481-3-13-d-1,1.631893507932744
1481-3-13-d-2,0
1481-3-13-d-3,1.2727845875004182
1481-3-13-d-4,0
1481-3-13-e-1,0
1481-3-13-e-2,0
1481-3-13-e-3,0
1481-3-13-e-4,0
1481-3-13-f-1,0
1481-3-13-f-2,0
1481-3-13-f-3,0
1481-3-13-f-4,0
1481-3-14-1-1,2.3654815776653364
1481-3-14-1-2,0.009167710336413901
1481-3-14-1-3,1.9046665402871008
1481-3-14-1-4,0
1481-3-14-10-1,0.09688646334020296
1481-3-14-10-2,1.881775275706176
1481-3-14-10-3,0
1481-3-14-10-4,1.9890548636444665
1481-3-14-11-1,0
1481-3-14-11-2,0
1481-3-14-11-3,0
1481-3-14-11-4,0
1481-3-14-12-1,0
1481-3-14-12-2,0
1481-3-14-12-3,0
1481-3-14-12-4,0
1481-3-14-13-1,0
1481-3-14-13-2,0
1481-3-14-13-3,0
1481-3-14-13-4,0
1481-3-14-14-1,0
1481-3-14-14-3,0.6209201292874316
1481-3-14-14-4,0.41214394075636457
1481-3-14-15-1,0
1481-3-14-15-2,1.988971213931518
1481-3-14-15-3,1.5042719607978048
1481-3-14-15-4,2.1129116389735008
1481-3-14-16-1,0
1481-3-14-16-2,0
1481-3-14-16-3,0
1481-3-14-16-4,0
1481-3-14-17-1,0
1481-3-14-17-2,0
1481-3-14-17-3,0
1481-3-14-17-4,0
1481-3-14-18-1,1.3795793598254518
1481-3-14-18-2,1.0066768603554879
1481-3-14-18-3,0.9944431879234141
1481-3-14-18-4,0
1481-3-14-19-1,2.0433616856502956
1481-3-14-19-2,1.2641745683547967
1481-3-14-19-3,2.185786940580049
1481-3-14-19-4,0.5570762270054197
1481-3-14-2-1,0
1481-3-14-2-3,0
1481-3-14-2-4,0
1481-3-14-6-1,0.7265058646856533
1481-3-14-6-2,0.7416979469144037
1481-3-14-6-3,0
1481-3-14-6-4,0.5628359877393551
1481-3-14-7-1,0
1481-3-14-7-2,0
1481-3-14-7-3,0.5977681178149655
1481-3-14-7-4,0
1481-3-14-8-1,0
1481-3-14-8-3,0
1481-3-14-b-1,0.15295442319084904
1481-3-14-b-2,1.359640259016575
1481-3-14-b-3,1.7161601267156763
1481-3-14-b-4,1.7530822922339508
1481-3-14-c-1,1.0113805959412845
1481-3-14-c-2,0
1481-3-14-c-3,0
1481-3-14-c-4,0
1481-3-14-d-1,0
1481-3-14-d-2,0
1481-3-14-d-3,0
1481-3-14-d-4,0
1481-3-14-e-3,0
1481-3-15-5-2,0.1877965821935854
1481-3-15-5-4,0.19207004495753585
1481-3-16-1-1,1.519366037934938
1481-3-16-1-2,1.0514289306470872
1481-3-16-1-3,0.021870961528534853
1481-3-16-1-4,0.2790898096537005
1481-3-16-12-1,0
1481-3-16-12-2,0
1481-3-16-12-4,0
1481-3-16-13-1,0
1481-3-16-13-2,0
1481-3-16-13-3,0
1481-3-16-13-4,0
1481-3-16-14-1,0
1481-3-16-14-2,0
1481-3-16-14-3,0
1481-3-16-14-4,0
1481-3-16-16-4,0
1481-3-16-17-1,0
1481-3-16-17-2,0
1481-3-16-17-3,0
1481-3-16-17-4,0
1481-3-16-18-1,0
1481-3-16-18-2,0
1481-3-16-18-3,0
1481-3-16-18-4,0
1481-3-16-19-1,0
1481-3-16-19-2,0
1481-3-16-19-3,0
1481-3-16-19-4,0
1481-3-16-2-1,0.9951260957922792
1481-3-16-2-2,0
1481-3-16-2-3,1.8513890507983315
1481-3-16-2-4,0
1481-3-16-3-1,0
1481-3-16-3-2,1.0914429836223634
1481-3-16-3-3,0
1481-3-16-3-4,1.0628231117542073
1481-3-16-4-1,0
1481-3-16-4-2,0
1481-3-16-4-3,0
1481-3-16-4-4,0
1481-3-16-5-1,0.9711650263167225
1481-3-16-5-2,0.7005890381046429
1481-3-16-5-3,1.7583849266534068
1481-3-16-5-4,0.8475347579625957
1481-3-16-6-1,0
1481-3-16-6-2,0
1481-3-16-6-4,0
1481-3-16-7-1,1.1384296632743094
1481-3-16-7-2,0.46167614974234333
1481-3-16-7-3,0
1481-3-16-7-4,1.4559286662660695
1481-3-16-8-1,0
1481-3-16-8-2,0.8785779481321478
1481-3-16-8-3,0
1481-3-16-8-4,0
1481-3-16-9-1,0
1481-3-16-9-2,0
1481-3-16-9-3,0
1481-3-16-9-4,0
1481-3-16-a-1,0
1481-3-16-a-2,0
1481-3-16-a-3,0
1481-3-16-a-4,0
1481-3-16-c-1,0
1481-3-16-c-2,0.47138223119975775
1481-3-16-d-1,0
1481-3-16-d-2,0
1481-3-16-d-3,0
1481-3-16-d-4,0
1481-3-16-e-1,0
1481-3-16-e-2,0
1481-3-16-e-3,0
1481-3-16-e-4,0
1481-3-16-f-1,0
1481-3-16-f-2,0
1481-3-16-f-3,0
1481-3-16-f-4,0
1481-3-17-1-1,0.5759496971754827
1481-3-17-1-2,1.417027899851691
1481-3-17-1-3,0.15980493119882555
1481-3-17-1-4,0.550380554693189
1481-3-17-10-1,0
1481-3-17-10-2,0
1481-3-17-10-3,0
1481-3-17-10-4,0
1481-3-17-11-1,0
1481-3-17-11-2,0
1481-3-17-11-3,0
1481-3-17-11-4,0
1481-3-17-12-1,0
1481-3-17-12-2,0.4778381512815218
1481-3-17-12-3,0
1481-3-17-12-4,0
1481-3-17-13-1,1.9516146765749687
1481-3-17-13-2,1.1295046341901624
1481-3-17-13-3,1.0416488653008187
1481-3-17-13-4,2.365053915358337
1481-3-17-14-1,0.3683306164811913
1481-3-17-14-2,0
1481-3-17-14-3,0
1481-3-17-14-4,0
1481-3-17-15-1,0
1481-3-17-15-2,0
1481-3-17-15-3,0.4078166893463688
1481-3-17-15-4,1.042584545565927
1481-3-17-16-1,0
1481-3-17-16-2,0
1481-3-17-16-3,1.145355465664873
1481-3-17-16-4,1.024039661102518
1481-3-17-17-1,0
1481-3-17-17-2,0.9311811580146445
